編號,名稱,簡介說明,鄉鎮,地址,電話,緯度,經度,門票/收費,旅遊叮嚀,行車資訊,大眾運輸,停車資訊
1469,梧棲文化出張所,梧棲文化出張所，位於梧棲老街的中心，緊鄰文化路商圈、百年老廟朝元宮，以「一幢老屋，復興一條老街」的理念為核心，運用「老屋老街說故事」的心情，串聯與港街有關的文化元素，並規劃一系列古蹟保存、文化教育推廣活動和再利用計畫，希冀藉由一幢老屋與在地居民共同復興老街，發揮梧棲老街無可取代的百年港街魅力。「市定古蹟原梧棲警察官吏派出所及宿舍群」興建於昭和六年（1931年），2010年11月8日公告指定為縣定古蹟（縣市合併後為市定古蹟），乃是目前台灣少數同時保留派出所廳舍與宿舍群之古蹟之一，園區包含派出所廳舍併宿舍、雙併磚造宿舍、單戶木造宿舍、單戶磚造宿舍、以及防空洞。現址為今梧棲路142號，興建於昭和6年（1931年），現存建築本體中，僅有「派出所廳舍併宿舍(A棟)」曾經歷日治時期昭和10年(1935年)的墩仔腳大地震，其餘建築則係於大地震後所建。園區除了古蹟導覽、港街風情特展及藝術品特展，也計劃推出和服體驗、祈福亭繪馬及開運詩籤等多種日式文化體驗。最特別的是，梧棲文化出張所也是全台第一間合法的古蹟民宿，民眾可以親身體驗，在特殊的日式古蹟裡開始一天的生活起居，細細品味古蹟的文化風韻。,梧棲區,梧棲路142號,(04)26565658,24.25661,120.52969,免費參觀,,,,園區附近有和朝元宮合作的特約停車場，供遊客停車使用。1.梧棲路學友書局旁停車場2.朝元宮後停車場(臨東健路、文化路)
1468,Hione World海灣樂世界,位於台中市北屯區亞洲最大親子寵物友善空間！有毛沒毛，卯起來玩就對啦~,北屯區,東山路二段151-2號,(04)22399520,24.19859,120.76399,,全票$350元(可折抵園區消費$200)停車費$100元(可全額折抵園區消費)3~11歲兒童票$100元寵物門票$100元三歲以下免費入園*部分設施另計費用,國道1號下中清交流道走台74縣(往霧峰方向)?下22松竹交流道?接東山路一段(往新社方向)?過大坑圓環?東山路二段151-2號即可抵達。,搭乘豐原客運270、271、276號，統聯客運66號或仁友客運21號至東山竹坑巷口下車，即可抵達。,
1464,戰車公園,戰車公園位於大雅區忠義里，為自行車道過往遊客停駐參觀景點之一，展示的三台M48A3戰車，為曾歷經炮火戰亂的軍事武器，戰車裝甲旅並曾駐守清泉崗數十年，除役後，由國防部同意撥交大雅區公所，提供民眾觀賞，當地居民都把戰車擺放區稱為戰車公園。,大雅區,月祥路305號,,24.23134,120.62387,,,,,
1458,臺中中央公園,"中央公園面積約67.34公頃因應結合水湳經貿園區，擁有臺中之肺的盛名，是一個超大的活動公園，園區結合「智慧」、「低碳」與「創新」三大原則，有獨步全球的十二感官互動設施結合於園區之中進行運用，使得園區與一般性的公園有著極大不同的差異性。廣大的園區面積更利用許多綠色植栽呈現不同風貌的地景，園內有106種喬木，數量達10,000棵以上，其中原生樹種占83%，呈現俱多樣化且適合生物棲息地的都市綠洲，早晨可在高低起伏的地形之間跑步運動；午後可在陽光細撒的林蔭之間漫步；黃昏時可以登上公園的制高點的自我體驗區欣賞晚霞的日落；夜晚更可以在點點燈光中探尋神秘的森林生態，歡迎您的造訪。",西屯區,經貿九路138號,(04)37062604,24.19504,120.65136,,,,,
1456,晶美術館,晶美術館以「傳承經典．活化美感．陶冶生活」為信念，自許為藝術平台，以商業發展推動文化藝術、提升整體人文素養與藝術美學底蘊，同時更以華人古代、近現代的藝術家與世界接軌，並廣納當代國際頂尖藝術家的作品，帶領大家走進深刻又具內涵的藝術饗宴。?本館以近代華人世界，著名的藝術巨匠，如齊白石、張大千、徐悲鴻、傅抱石、林風眠、李可染、吳昌碩、潘天壽、吳冠中、黃賓虹等十位藝術大師的珍品，作?經典館藏，並緣此推展了一系列的圖書出版、學術研究、REART。期待在環繞著每個藝術家的展出中，帶領觀?，穿越時空，回到二十世紀初期，感受東方之美。?美術館的成立，起源於三位創辦人對於美的喜愛與承擔，以及將經典傳承之使 ──包括了從事收藏有餘 40 年的林光輝館長、從事藝術設計與建築領域的張忠弘董事長，以及創新文化基金會執行長張芳民先生。「當今看到其他國家有許多美術館開立，給予人民很多欣賞美學的空間，也企望在台中這城市也可以見到許多美術館」林光輝館長說道，此言可以了解到創辦人對推廣文化的一番苦心：期盼匯聚收藏、研究、展出、教育的等板塊，邀請貴賓共賞，藝遊珍美。,西屯區,府會園道157號,(04)22555985,24.16085,120.64536,,全館以預約參觀為主，可接受現場報名，仍需配合導覽時間。 其他時間依晶美術館官方網站公告為主。 -一般民眾：300 元團體票：200 元 (6人以上)優待票：160 元 (13 歲(含)以上的學生與國際學生、65 歲(含)以上、 身體障礙者及其陪同者一人、本館集體行銷活動專案 )-免費票：1.本館榮譽、紫晶、水晶會員2.本館志工或持「志願服務榮譽卡」者3.中華民國博物館學會會員4.配合特別專案，公私立各級學校或大專院校美術相關科系之校外教學或學術交流，向本館申請預約並經核准。5.國際博物館日或其他美術館相關之特殊節日或活動，本館將公告免費預約時段與人數，接受線上或當場報名參觀。,,,1.市政公園停車場2.惠國停車場3.台灣聯通停車場-文心場
1455,白陽聖廟,斥資10多億，歷經20多年打造的「一貫道祖師紀念館-白陽聖廟」，仿北京天壇，全棟外牆採用景泰藍，純銅鑲崁金碧輝煌，面積、高度均比北京天壇大，足以甚稱為今古奇觀，曠世鉅作。全棟高54米，內坪300坪，外坪300坪，天壇造形三層屋簷，象徵天、地、人，內部中間四支大柱代表著一年四季春、夏、秋、冬，分給12個月，再分給24節氣，將道之宗旨結合在建築物中，實現陳 前人老的目標，也讓全世界的道親一同參與，為實現彌勒家園而努力。圖文出處：臺中市政府民政局,霧峰區,峰谷路900號,,24.0355,120.73659,,,,,
1454,埋伏坪登山步道,埋伏坪登山步道全長2.6公里，和平區自由里里辦公處旁即為步道起點，由桃樹園山徑途切上稜，終點為銜接東崎路2段。埋伏坪登山步道位於臺中市西側內陸和平區，位處大安溪沿線，屬泰雅族北勢群聚落-雙崎部落，緊鄰雪山山脈西南向主稜後段，蘊含豐富自然林資源、多樣生物系統，及帶狀原住民族特色及文化。步道起點為自由里登山步道出入口，步道終點為東崎路登山步道出入口。步道特色景點有天然石階步道高點、紅磚水塔、水圳遺址、百年櫸木步道奇景、觀景點及引水隧道等。,和平區,東崎路二段,(04)22289111,24.29219,120.91098,,,,,
1453,台中清真寺,台中清真寺座落於台中市南屯區大墩南路457號，民國79年建成竣工，民國109年全面新裝完成，是目前全台灣最具伊斯蘭風格的建築，也是中部地區唯一的伊斯蘭建築的地標，新裝的建築參考伊斯蘭聖地麥地納先知清真寺的色彩及元素，有宏偉的白色大穹頂，兩座高聳的喚拜塔以及粉桔色的外牆中搭配著十一座黑白相間仿石材的大拱門，堪稱全台最美的清真寺。台中清真寺宏偉莊嚴同時設有環保的太陽能發電設施，109年榮獲台中市政府盧秀燕市長頒發屋頂綠能貢獻?，擁有綠能宗教場所的殊榮。並於民國109年入選中華郵政出版代表台灣形象的年度郵票，台中清真寺己成愛好攝影人士及各地遊客喜愛的打卡景點。歡迎訪客預約入內參觀，預約電話：04-24732519圖文出處：臺中市政府民政局,南屯區,大墩南路457號,,24.13615,120.64984,,,,,
1451,筱雲山莊,１、具高度歷史、藝術或科學價值者：筱雲山莊建於同治五年（1866年），呂炳南為奉養張太夫人，斥資建造。落成時，呂炳南聲望達於頂峰。炳南有三子汝玉、汝修與汝誠，俱中秀才，舉人吳子光稱許為「海東三鳳」。日治時期筱雲山莊又出了二位詩人為呂厚庵與呂蘊白，均為霧峰櫟社社員，當時臺灣淪日，他們更以鼓吹詩教，發揚漢族歷史文化不遺餘力。２、表現各時代營造技術流派特色者：清代創建期的筱雲山莊為兩落單護龍形式，為坐北朝南的四合院，門廳及門樓有防禦用的鎗孔，前後落及門樓皆具有交趾陶、泥塑、磚雕、剪黏及彩繪等裝飾篤慶堂的第二道、第三道護龍左右對稱配置於主屋兩側，筱雲軒、迎賓樓則自篤慶堂左側延展，形構出一個書香、閒逸的文人世界。南庭建於昭和十年設置日式建築特色的犬走並有渠溝排水，屋頂為日式切妻造搭配洋小屋架、外牆閩式穿瓦衫，其中南庭有傳統的土墼、承重磚牆，是做為漢和洋混合建築的一個例子。 北庭於昭和十二年（1937）完工，為筱雲山莊歷代建築中豪華宅邸之代表，整體結構完善，且表現出昭和年間高級之建築格局。筱雅居於民國四十八年（1959）完工為近代建築，構造上依然受到日治時期的建築技術影響，使用洋小屋組、日式寄棟造與切妻造屋頂等，但牆跟柱等已變成近代混凝土與筱雲山莊內部的建築型式有很大的差異，表現不同時代在材料使用上的差異。３、具稀少性，不易再現者：筱雲山莊內有豐富的水路系統、完整的防禦設施，整體建築跨越了清代、日治與民國三個時期，建築上巧妙的結合不同文化風格的特色，對於歷史演變的過程是非常具有歷史文化之價值，可謂臺灣民宅發展的縮影，具稀少性。 圖文出處：臺中市政府文化資產處,神岡區,三角里大豐路116號,,24.23771,120.69546,,因內有住戶僅受理預約參觀,,,
1450,潭水亭,潭水亭(已有200多年歷史)位於台中市潭子區潭陽里，係為本區信仰中心。於乾隆期年間，有木根觀音，隨水漂流至下潭仔，夜間發亳光；先民便依潭邊在竹林下建一間石頭砌成之小廟，做為供奉之所。嘉慶六年（1801）庄民鑒於信眾漸盛，鳩資在潭邊建亭祀『潭水亭』，即由此肇始。道光四年（1824）翻修，庄民並立匾為記。迨光緒四年（1878）在大埔厝林其中、三分埔林振春的捐資整修並增建拜亭，此後廟貌完整，來往香客絡繹不絕。民國九年水災氾濫，沖壞殿壁梁柱，庄民林瓊彰，傅鍚祺，林溪瓦等人倡議遷廟，並有瓦瑤子林逢源捐地二分充作廟地，於同年四月重建，民國十二年奉天完工。民國五十七年，因該廟瓦頂時常漏水，地方熱心仕紳戴春波，乃倡鳩資重修，善男信女踴躍樂捐及虔心信士吳田慷慨捐獻廟前土地四十一坪作道路、方便信眾及車輛通行，遂同年七月重修擴建，迨民國六十五年冬月落成，民國七十年成立管理委員會。轉眼又過了半世紀，戴主委盡心盡力合眾鳩資，於民國八十年購買廟後民宅十一間，改建成大雄寶殿，於民國九十年完成。原後殿及兩側廂房瓦頂時常漏水，於九十三年成立修建小組，拆除擴建為中殿，保留主殿（觀音殿）成為一罕見的廟中廟型建物，九十六年五月購買廟埕土地160.8坪，於民國九十六年底完工，而有今日廟貌，並在戊子年?建慶成安龍謝土祈安植福三朝清醮大典。,潭子區,復興路二段89號,,24.2091,120.70698,,,,,
1449,萬興宮,本宮建於清雍正十一年(西元一七三三年)近三百年，歷史悠久。雍正九年大甲西社番亂，總土官潘敦仔率其子士萬、士興及通事張達京，統領壯丁平番亂有功，於雍正十一年張達京率士萬、士興上京受賞，蒙賜蟒袍(現存張氏家族)。返台時感於聖母恩澤，特赴湄洲天后宮恭請天上聖母神靈，奉祀於神岡社南瓦?腳(因籌建廟宇需琉璃瓦、磚等料特建窯燒瓦，故稱瓦?腳)，後因地理欠佳移廟現址。萬興宮的由來傳有取士萬、士興，社口昔為岸裡大赦之出入口，漢人入墾後稱此地為萬興莊而得名。圖文出處：萬興宮,神岡區,昌平路五段337號,(04)25626090,24.24537,120.6841,,,,,
1448,幻覺博物館,幻覺博物館裡的展品涵蓋視覺、知覺、人腦和心理的知識，同個空間，在不同角度下，眼睛可能會看到大腦無法理解的事物。以上圖文資訊由幻覺博物館提供，版權歸幻覺博物館所有,西區,精誠路66號,(04)23295008,24.15605,120.65635,成人：$380、學生(需有學生證)：$350、孩童(3-15歲)：$270、家庭票(兩位大人跟兩位孩童)：$1050,,,,
1447,桐林里登山步道,中市府觀光旅遊局於108年度整修霧峰區桐林里登山步道，針對老舊步道重新拆除整修，以手作步道精神採用木作材料建置沿線木棧道，並增設休憩平台提供遊客使用。桐林里登山步道坐落於霧峰區桐林社區發展協會旁，步道為環狀系統，總長約300公尺，屬於社區型登山步道，適合霧峰區居民平日和假日休閒時前往運動，路程約15分鐘。,霧峰區,鄰近霧峰區桐林里辦公處,,24.06225,120.73859,,,,,
1446,草嶺登山步道及楓仔林登山步道,臺中市太平區的草嶺登山步道及楓仔林登山步道，位於太平區136市道旁，臨近太平著名景點蝙蝠洞，與蝙蝠洞登山步道形成小型步道群。楓仔林步道為草嶺登山步道的支線步道，步道總長720公尺(楓仔林步道長70公尺、草嶺登山步道長650公尺)，全線以木棧道及卵石步道組成，沿途經過三座休憩涼亭、林蔭步道，步道頂端有景觀台，視野遼闊，可將太平山山谷風貌盡收眼底，適合闔家大小登山健行一日遊。,太平區,長龍路三段245巷,,24.10593,120.77404,,,,,
1445,觀音山及鳳凰山登山步道,觀音山及鳳凰山步道位於臺中市后里區內，鳳凰山步道原名為仁里村休閒步道，仁里村舊名為「貓仔坑」，步道最高點可與觀音山步道串聯。建議旅遊時間2-3小時。觀音山為后里區內最高峰，山頂無基石，觀音山及鳳凰山步道穿越許多果園，為附近里民、遊客最佳的登山健行、休閒去處。鳳凰山步道：鳳凰山登山步道擁有臺中地區最具規模的木棧道，步道規劃完善，全長約2.1公里，沿著木棧道健行，設施完善設備安全，步道沿途空氣新鮮，樹木扶疏。觀音山步道：位於后里火車站東側之丘陵地帶，全長約2.2公里，沿途清爽幽靜、視野寬廣，於最高點之觀音山（亭）可眺望月眉山全貌，為民眾登山健行、休閒採果的最佳去處。,后里區,仁里里圳寮路47巷7號,,24.30755,120.75096,,,,,
1444,潭子落羽松祕境,時至深秋，潭子落羽松祕境已然成為行旅中臺灣必訪地點。過了新田登山步道口後，沿著龍興巷繼續向一旁的產業道路走上山坡，便可遠眺這片美麗的大片落羽松林。挑一個氣候舒爽的秋日登上山坡，欣賞一株株落羽松襯著藍天白雲，陽光於縫隙之間灑落，染得所有枝葉透出紅橙黃金的漸層色彩。滿坡的唯美松紅，受到眾多情侶喜愛，來此欣賞浪漫景致。,潭子區,豐興路二段龍興巷,,24.21427,120.738,,,,,
1443,靜宜大學_主顧聖母堂,屋頂的玻璃十字架在陽光的照射下，呈現出不同的光影變化；教堂自空中可俯瞰出魚的外型，及通往大門的一條筆直路徑，處處巧思傳達了聖經的寓意，因此成為婚紗拍攝的新地標。,沙鹿區,台灣大道七段200號,(04)26328001,24.2258,120.57719,,,,,
1442,大雅麥田,每年三月小麥成熟時，臺中大雅麥田就閃耀著大片金黃。微風吹過，麥穗低下了頭又挺直了身，麥浪搖曳如波，蔚為臺中市迷人的知名景觀。大雅擁全臺九成小麥產量，每年舉行的文化節也以小麥為行銷主題。現場除了風吹麥浪以外，也設計了大小不一的藝術裝置。由於文化節期間正值西洋情人節，藝術展品也多和戀愛相關，所以大雅麥田也意外成為一處情侶約會的熱門場地。如果幸運的話，還能拍到小麥成熟三階段的照片，這頭還是綠油油的一片，相距數百公尺則已經出現銘黃、金黃的麥田，在大雅體驗大自然的神奇。,大雅區,神林路一段231巷,(04)25662216,24.23792,120.65277,,,,,
1441,學田山 (雪蓮步道),以善光寺為起點，沿著知高圳步道前行，原先的緩坡逐步變陡時，便是雪蓮步道了。拾級而上，眼見草原被夕陽染成大片金色的美景，讓人不虛此行。,大肚區,王福街2巷32弄38號,,24.12159,120.5832,,,,,
1440,葫蘆墩公園,軟埤仔溪流貫其中，它是豐原占地最大的河濱公園。作為2018世界花博場館之一，展期結束，水岸依然群花搖曳，綻放芬芳。,豐原區,圓環北路二段65號,(04)22289111#33900,24.26055,120.72187,,,,,
1439,公老坪,豐原人以擁有遼闊景觀視野的公老坪為傲，公老坪也是小情侶們登山賞景的絕佳約會地點。依山而建的景觀餐廳、景觀咖啡廳，乃至丘逢甲紀念公園，都能欣賞臺中絕美夜景。海拔不及五百公尺的公老坪，傳說是一位名為許公老的先賢，帶領鄉親共同開拓而得名。傍晚時分登山，可以親眼見證藍天逐漸轉往魚肚白，夕陽映照出大片橙黃橘綠的漸層色彩，最後轉為深藍色，萬千燈火在夜空中一一點亮。,豐原區,水源路,,24.26352,120.75359,,,,,
1438,中科橫山公園,一條原木棧道、一座石牆堡壘、一座開放式迴廊，橫山公園宛如古裝電影場景，卻又帶有現代簡約氣息，橫山公園廣大的腹地及多元生態吸引許多遊客在此佇足。,大雅區,通山路,(04)25658588,24.21123,120.62589,,,,,
1437,外埔忘憂谷,站在河堤上，居高臨下，觸目所及是由一塊塊錯落有致的田地，拼貼成夏綠秋黃的大地，真如孟浩然詩句「綠樹村邊合，青山郭外斜」的悠然意境。忘憂谷一年四季有不同特殊景色，春耕夏耘的綠、秋收的金，冬藏以前各處種起油菜花、波斯菊、小雛菊，如天然畫布一般，展現令人忘憂之美。,外埔區,溪底路,,24.30854,120.64739,,,,,
1436,大肚藍色公路,藍色公路不僅夜景絕美，白天因為居高臨下，蜿蜒公路和藍天彼此對映，與黑夜呈現不同的亮眼藍調。,大肚區,大肚藍色公路,,24.15709,120.56701,,,,,
1434,頂魚寮公園,色彩繽紛是頂魚寮公園的特色，融合七彩椅、鯨魚滑梯、故事牆、花園迷宮、漁船造景等外型可愛鮮豔的設施，成為海線最夯的親子公園。,梧棲區,八德東路,(04)26564311,24.26558,120.53619,,,,,
1429,南埔鷺鷥林,南埔堤岸的鷺鷥林裡，成群的鷺鷥、夜鷺、埃及聖環等平常不易見到的鳥類，在這裡自由遨翔、盡情鳴唱。愛鳥人士時常在清晨或是黃昏來賞鳥亭，欣賞鷺鷥在群聚飛舞的盛況，煞是壯觀。,大安區,南莊海堤19號,,24.35167,120.5679,,,,,
1428,甲后自行車道,甲后線主線主線全長約16.97公里，沿甲后路設置，西側銜接環島1號線、東側銜接東豐自行車道綠廊、泰安新站，聯通山城與海線自行車道路網。六分路支線全長約5.63公里，行經外埔區，銜接月眉西路自行車道，終點銜接甲后路主線，形成迴圈型路網。為臺中釀酒葡萄大宗產區，沿線酒莊遍布，可體驗葡萄樹下的浪漫餐酒饗宴，品嚐當季釀製葡萄酒。每到五月桐花季節時，騎腳踏車漫遊步賞美景，探索桐花幽徑。忘憂谷支線全長約12.6公里，包括2公里長的堤頂自行車道。沿途可與鐵道共乘，欣賞溪底路水圳風光、忘憂谷美景等。終點銜接月眉觀光糖廠，全線皆為農田景觀與自然景觀。於磁瑤堤頂上溪谷視野一覽無遺，盡覽農村溪谷風光。壯闊花海與殷紅夕照為忘憂谷的二大景觀，十分適合騎乘。,后里區,大甲區、外埔區,,24.30888,120.72237,,,,,
1427,大呷麵本家故事館,開放時間：週一至週五，08:00-18:00；週六至週日09:00-18:00館舍地址：臺中市大甲區重義二路153號聯絡電話：04-26862239官方網站：http://www.noodlesorigin.com/Facebook：https://www.facebook.com/noodlesorigin1934/ Instagram：noodlesorigin 導覽解說：■有 □無 ■預約制預約電話：04-26862239其他服務：■ DIY體驗：古法紙捲麵DIY■ 文創小舖,大甲區,重義二路153號,(04)26862239,24.33536,120.61323,,,,,
1426,臺中市原住民綜合服務中心,開放時間：週二至週日，08:00-17:00館舍地址：臺中市大雅區仁愛路69號聯絡電話：04-25602710官方網站：https://www.ipd.taichung.gov.tw/Facebook: https://www.facebook.com/臺中市原住民綜合服務中心-570533300017575/ 導覽解說：有(預約制)DIY體驗：皮雕、串珠駐館藝術家其他服務：原住民兒童文化體驗營,大雅區,仁愛路69號,(04)25602710,24.23539,120.62205,,,,,
1424,臺灣火柴故事館,因火柴在南區具有特別的歷史發展足跡，為記錄火柴與南區的故事，藉由「臺灣火柴故事館」的成立，連結火柴歷史與在地情感的文化內涵，延續火柴文化能見度，以達永續薪傳為目的。開放時間：週一至週五，08:30-11:30，13:30-16:30例假日：凡團體參觀人數達20人以上者，開放團體預約申請，經核准後開放假日參觀，若需志工導覽者，得於預約申請時一併提出。館舍地址：臺中市南區工學路72號聯絡電話：04-22626105#315?導覽解說：■有 □無 ■預約制預約電話：04-22626105#315團體參觀人數達20人以上者，可於7天前填寫團體預約申請表，併同申請導覽。,南區,工學路72號,(04)22626105#315,24.11718,120.66364,,,,,
1423,帝國製糖廠臺中營業所,歷史建築帝國製糖廠臺中營業所興建於1935年，前身為日本帝國製糖株式會社之臺中工場營業空間，在臺中，帝糖見證著產業之興衰轉變，於2016年登錄為歷史建築。2019年重新開放，由好位子團隊負責策劃與營運，持續於帝糖策劃與推動產業文化展演、特色主題餐廳、ProLab職人坊，傳承在地精神，也為帝糖注入新的元素與活力。,東區,樂業路與進德路交叉口,(04)22112898,24.13863,120.69253,,,,,
